id,name,level,parent_id
-1,不限
7000000,安徽,1,-1
33000000,澳门,1,-1
1000000,北京,1,-1
17000000,福建,1,-1
14000000,甘肃,1,-1
12000000,广东,1,-1
25000000,广西,1,-1
24000000,贵州,1,-1
30000000,海南,1,-1
21000000,河北,1,-1
18000000,河南,1,-1
3000000,黑龙江,1,-1
11000000,湖北,1,-1
13000000,湖南,1,-1
4000000,吉林,1,-1
8000000,江苏,1,-1
22000000,江西,1,-1
5000000,辽宁,1,-1
26000000,内蒙古,1,-1
27000000,宁夏,1,-1
28000000,青海,1,-1
16000000,山东,1,-1
23000000,山西,1,-1
10000000,陕西,1,-1
2000000,上海,1,-1
15000000,四川,1,-1
34000000,台湾,1,-1
6000000,天津,1,-1
31000000,西藏,1,-1
32000000,香港,1,-1
29000000,新疆,1,-1
20000000,云南,1,-1
9000000,浙江,1,-1
19000000,重庆,1,-1
15019000,阿坝藏族羌族自治州,2,15000000
29004000,阿克苏地区,2,29000000
26012000,阿拉善盟,2,26000000
29014000,阿勒泰地区,2,29000000
31007000,阿里地区,2,31000000
10009000,安康市,2,10000000
7012000,安庆市,2,7000000
24004000,安顺市,2,24000000
18007000,安阳市,2,18000000
5008000,鞍山市,2,5000000
33001000,澳门特别行政区,2,33000000
26009000,巴彦淖尔市,2,26000000
29011000,巴音郭楞蒙古自治州,2,29000000
15014000,巴中市,2,15000000
4002000,白城市,2,4000000
4008000,白山市,2,4000000
14004000,白银市,2,14000000
25011000,百色市,2,25000000
7006000,蚌埠市,2,7000000
26002000,包头市,2,26000000
10006000,宝鸡市,2,10000000
21007000,保定市,2,21000000
20004000,保山市,2,20000000
25008000,北海市,2,25000000
1001000,北京市,2,1000000
5006000,本溪市,2,5000000
24005000,毕节地区,2,24000000
16016000,滨州市,2,16000000
7004000,亳州市,2,7000000
29009000,博尔塔拉蒙古自治州,2,29000000
21009000,沧州市,2,21000000
31003000,昌都地区,2,31000000
29010000,昌吉回族自治州,2,29000000
4001000,长春市,2,4000000
13001000,长沙市,2,13000000
23005000,长治市,2,23000000
13003000,常德市,2,13000000
8011000,常州市,2,8000000
7015000,巢湖市,2,7000000
5002000,朝阳市,2,5000000
12006000,潮州市,2,12000000
13009000,郴州市,2,13000000
15001000,成都市,2,15000000
21003000,承德市,2,21000000
7016000,池州市,2,7000000
26004000,赤峰市,2,26000000
25010000,崇左市,2,25000000
7008000,滁州市,2,7000000
20013000,楚雄彝族自州,2,20000000
15015000,达州市,2,15000000
20012000,大理白族自治州,2,20000000
